protein1,protein2,combined_score
0,3469,490
0,1759,198
0,15599,159
0,16415,606
0,7401,167
0,18199,267
0,1017,201
0,15220,150
0,13038,240
0,13257,271
0,1527,157
0,10398,418
0,8338,278
0,14738,185
0,6711,185
0,17047,909
0,16839,910
