start_index,destination_index,shortest_path_distance,shortest_path_seq,weight_list
38,15215,0.003134796238244514,"[38, 15215]",[0.003134796238244514]
38,376,0.0031847133757961785,"[38, 376]",[0.0031847133757961785]
38,9475,0.0032679738562091504,"[38, 9475]",[0.0032679738562091504]
38,4456,0.003289473684210526,"[38, 4456]",[0.003289473684210526]
38,11819,0.003289473684210526,"[38, 11819]",[0.003289473684210526]
38,2585,0.0033003300330033004,"[38, 2585]",[0.0033003300330033004]
38,8139,0.0033003300330033004,"[38, 8139]",[0.0033003300330033004]
38,15717,0.0033003300330033004,"[38, 15717]",[0.0033003300330033004]
38,10176,0.0033003300330033004,"[38, 10176]",[0.0033003300330033004]
38,336,0.0033112582781456954,"[38, 336]",[0.0033112582781456954]
38,6236,0.0033112582781456954,"[38, 6236]",[0.0033112582781456954]
38,8085,0.0033222591362126247,"[38, 8085]",[0.0033222591362126247]
38,11465,0.0033222591362126247,"[38, 11465]",[0.0033222591362126247]
38,16759,0.0033222591362126247,"[38, 16759]",[0.0033222591362126247]
38,3778,0.0033333333333333335,"[38, 3778]",[0.0033333333333333335]
38,16434,0.0033333333333333335,"[38, 16434]",[0.0033333333333333335]
38,214,0.0033333333333333335,"[38, 214]",[0.0033333333333333335]
38,2635,0.0033444816053511705,"[38, 2635]",[0.0033444816053511705]
38,11214,0.0033444816053511705,"[38, 11214]",[0.0033444816053511705]
38,100,0.0033444816053511705,"[38, 100]",[0.0033444816053511705]
38,15393,0.0033444816053511705,"[38, 15393]",[0.0033444816053511705]
38,11130,0.003355704697986577,"[38, 11130]",[0.003355704697986577]
38,13089,0.003355704697986577,"[38, 13089]",[0.003355704697986577]
38,18574,0.003355704697986577,"[38, 18574]",[0.003355704697986577]
38,1012,0.003367003367003367,"[38, 1012]",[0.003367003367003367]
38,11930,0.003367003367003367,"[38, 11930]",[0.003367003367003367]
38,2540,0.003367003367003367,"[38, 2540]",[0.003367003367003367]
38,17342,0.003367003367003367,"[38, 17342]",[0.003367003367003367]
38,882,0.003367003367003367,"[38, 882]",[0.003367003367003367]
38,7088,0.0033783783783783786,"[38, 7088]",[0.0033783783783783786]
38,4218,0.0033783783783783786,"[38, 4218]",[0.0033783783783783786]
38,17488,0.0033783783783783786,"[38, 17488]",[0.0033783783783783786]
38,12443,0.0033783783783783786,"[38, 12443]",[0.0033783783783783786]
38,13995,0.003389830508474576,"[38, 13995]",[0.003389830508474576]
38,17494,0.003389830508474576,"[38, 17494]",[0.003389830508474576]
38,16677,0.003401360544217687,"[38, 16677]",[0.003401360544217687]
38,17923,0.0034129692832764505,"[38, 17923]",[0.0034129692832764505]
38,15547,0.003436426116838488,"[38, 15547]",[0.003436426116838488]
38,1125,0.003436426116838488,"[38, 1125]",[0.003436426116838488]
38,10069,0.003436426116838488,"[38, 10069]",[0.003436426116838488]
38,6797,0.003436426116838488,"[38, 6797]",[0.003436426116838488]
38,16214,0.003436426116838488,"[38, 16214]",[0.003436426116838488]
38,7547,0.0034482758620689655,"[38, 7547]",[0.0034482758620689655]
38,10292,0.0034482758620689655,"[38, 10292]",[0.0034482758620689655]
38,15762,0.0034482758620689655,"[38, 15762]",[0.0034482758620689655]
38,13907,0.0034602076124567475,"[38, 13907]",[0.0034602076124567475]
38,5677,0.0034602076124567475,"[38, 5677]",[0.0034602076124567475]
38,1026,0.003472222222222222,"[38, 1026]",[0.003472222222222222]
38,1263,0.003472222222222222,"[38, 1263]",[0.003472222222222222]
38,2016,0.003472222222222222,"[38, 2016]",[0.003472222222222222]
38,4517,0.003472222222222222,"[38, 4517]",[0.003472222222222222]
38,7177,0.003472222222222222,"[38, 7177]",[0.003472222222222222]
38,7282,0.003472222222222222,"[38, 7282]",[0.003472222222222222]
38,7771,0.003472222222222222,"[38, 7771]",[0.003472222222222222]
38,10128,0.003472222222222222,"[38, 10128]",[0.003472222222222222]
38,11108,0.003472222222222222,"[38, 11108]",[0.003472222222222222]
38,11359,0.003472222222222222,"[38, 11359]",[0.003472222222222222]
38,12111,0.003472222222222222,"[38, 12111]",[0.003472222222222222]
38,14220,0.003472222222222222,"[38, 14220]",[0.003472222222222222]
38,6654,0.003472222222222222,"[38, 6654]",[0.003472222222222222]
38,2784,0.003484320557491289,"[38, 2784]",[0.003484320557491289]
38,1249,0.003484320557491289,"[38, 1249]",[0.003484320557491289]
38,12862,0.003484320557491289,"[38, 12862]",[0.003484320557491289]
38,8075,0.0034965034965034965,"[38, 8075]",[0.0034965034965034965]
38,12955,0.0035211267605633804,"[38, 12955]",[0.0035211267605633804]
38,8256,0.0035335689045936395,"[38, 8256]",[0.0035335689045936395]
38,19172,0.0035335689045936395,"[38, 19172]",[0.0035335689045936395]
38,15281,0.0035335689045936395,"[38, 15281]",[0.0035335689045936395]
38,15671,0.0035460992907801418,"[38, 15671]",[0.0035460992907801418]
38,17604,0.0035460992907801418,"[38, 17604]",[0.0035460992907801418]
38,1946,0.0035587188612099642,"[38, 1946]",[0.0035587188612099642]
38,3050,0.0035587188612099642,"[38, 3050]",[0.0035587188612099642]
38,2484,0.0035587188612099642,"[38, 2484]",[0.0035587188612099642]
38,11046,0.0035714285714285713,"[38, 11046]",[0.0035714285714285713]
38,14421,0.0035714285714285713,"[38, 14421]",[0.0035714285714285713]
38,12003,0.0035714285714285713,"[38, 12003]",[0.0035714285714285713]
38,12064,0.0035714285714285713,"[38, 12064]",[0.0035714285714285713]
38,19333,0.0035842293906810036,"[38, 19333]",[0.0035842293906810036]
38,7458,0.0035971223021582736,"[38, 7458]",[0.0035971223021582736]
38,4103,0.0036101083032490976,"[38, 4103]",[0.0036101083032490976]
38,13861,0.0036101083032490976,"[38, 13861]",[0.0036101083032490976]
38,3948,0.0036101083032490976,"[38, 3948]",[0.0036101083032490976]
38,8302,0.0036101083032490976,"[38, 8302]",[0.0036101083032490976]
38,3465,0.0036231884057971015,"[38, 3465]",[0.0036231884057971015]
38,4096,0.0036231884057971015,"[38, 4096]",[0.0036231884057971015]
38,15534,0.0036231884057971015,"[38, 15534]",[0.0036231884057971015]
38,6269,0.0036231884057971015,"[38, 6269]",[0.0036231884057971015]
38,16923,0.0036231884057971015,"[38, 16923]",[0.0036231884057971015]
38,2622,0.0036363636363636364,"[38, 2622]",[0.0036363636363636364]
38,14239,0.0036363636363636364,"[38, 14239]",[0.0036363636363636364]
38,10307,0.0036363636363636364,"[38, 10307]",[0.0036363636363636364]
38,9187,0.003663003663003663,"[38, 9187]",[0.003663003663003663]
38,1540,0.003676470588235294,"[38, 1540]",[0.003676470588235294]
38,5488,0.003676470588235294,"[38, 5488]",[0.003676470588235294]
38,9278,0.003676470588235294,"[38, 9278]",[0.003676470588235294]
38,3656,0.003676470588235294,"[38, 3656]",[0.003676470588235294]
38,14637,0.0036900369003690036,"[38, 14637]",[0.0036900369003690036]
38,5679,0.0036900369003690036,"[38, 5679]",[0.0036900369003690036]
38,240,0.0036900369003690036,"[38, 240]",[0.0036900369003690036]
38,17972,0.0036900369003690036,"[38, 17972]",[0.0036900369003690036]
38,6502,0.003703703703703704,"[38, 6502]",[0.003703703703703704]
38,6628,0.003703703703703704,"[38, 6628]",[0.003703703703703704]
38,17626,0.003703703703703704,"[38, 17626]",[0.003703703703703704]
38,671,0.003703703703703704,"[38, 671]",[0.003703703703703704]
38,4473,0.0037174721189591076,"[38, 4473]",[0.0037174721189591076]
38,15838,0.0037174721189591076,"[38, 15838]",[0.0037174721189591076]
38,13329,0.0037174721189591076,"[38, 13329]",[0.0037174721189591076]
38,7905,0.0037313432835820895,"[38, 7905]",[0.0037313432835820895]
38,3970,0.0037313432835820895,"[38, 3970]",[0.0037313432835820895]
38,14435,0.003745318352059925,"[38, 14435]",[0.003745318352059925]
38,5656,0.0037593984962406013,"[38, 5656]",[0.0037593984962406013]
38,10234,0.0037593984962406013,"[38, 10234]",[0.0037593984962406013]
38,15578,0.0037735849056603774,"[38, 15578]",[0.0037735849056603774]
38,4635,0.0037735849056603774,"[38, 4635]",[0.0037735849056603774]
38,1876,0.0037735849056603774,"[38, 1876]",[0.0037735849056603774]
38,325,0.003787878787878788,"[38, 325]",[0.003787878787878788]
38,2293,0.003787878787878788,"[38, 2293]",[0.003787878787878788]
38,7245,0.003787878787878788,"[38, 7245]",[0.003787878787878788]
38,17886,0.003787878787878788,"[38, 17886]",[0.003787878787878788]
38,2776,0.0038022813688212928,"[38, 2776]",[0.0038022813688212928]
38,5592,0.0038022813688212928,"[38, 5592]",[0.0038022813688212928]
38,15747,0.0038022813688212928,"[38, 15747]",[0.0038022813688212928]
38,5891,0.0038022813688212928,"[38, 5891]",[0.0038022813688212928]
38,3940,0.0038022813688212928,"[38, 3940]",[0.0038022813688212928]
38,620,0.003816793893129771,"[38, 620]",[0.003816793893129771]
38,13068,0.003816793893129771,"[38, 13068]",[0.003816793893129771]
38,3799,0.0038314176245210726,"[38, 3799]",[0.0038314176245210726]
38,447,0.0038314176245210726,"[38, 447]",[0.0038314176245210726]
38,17623,0.0038461538461538464,"[38, 17623]",[0.0038461538461538464]
38,10010,0.0038461538461538464,"[38, 10010]",[0.0038461538461538464]
38,2684,0.0038461538461538464,"[38, 2684]",[0.0038461538461538464]
38,3802,0.003861003861003861,"[38, 3802]",[0.003861003861003861]
38,10140,0.003861003861003861,"[38, 10140]",[0.003861003861003861]
38,14143,0.003861003861003861,"[38, 14143]",[0.003861003861003861]
38,13131,0.003861003861003861,"[38, 13131]",[0.003861003861003861]
38,4506,0.003875968992248062,"[38, 4506]",[0.003875968992248062]
38,7835,0.003875968992248062,"[38, 7835]",[0.003875968992248062]
38,10546,0.0038910505836575876,"[38, 10546]",[0.0038910505836575876]
38,1283,0.0038910505836575876,"[38, 1283]",[0.0038910505836575876]
38,11128,0.00390625,"[38, 11128]",[0.00390625]
38,15538,0.00390625,"[38, 15538]",[0.00390625]
38,5485,0.00392156862745098,"[38, 5485]",[0.00392156862745098]
38,3966,0.00392156862745098,"[38, 3966]",[0.00392156862745098]
38,12144,0.00392156862745098,"[38, 12144]",[0.00392156862745098]
38,9809,0.003937007874015748,"[38, 9809]",[0.003937007874015748]
38,3064,0.003937007874015748,"[38, 3064]",[0.003937007874015748]
38,14659,0.003937007874015748,"[38, 14659]",[0.003937007874015748]
38,5434,0.003937007874015748,"[38, 5434]",[0.003937007874015748]
38,18895,0.003937007874015748,"[38, 18895]",[0.003937007874015748]
38,956,0.003952569169960474,"[38, 956]",[0.003952569169960474]
38,16844,0.003952569169960474,"[38, 16844]",[0.003952569169960474]
38,2918,0.003952569169960474,"[38, 2918]",[0.003952569169960474]
