start_index,destination_index,shortest_path_distance,shortest_path_seq
8484,8349,0.002849002849002849,"[8484, 8349]"
8484,12944,0.0030864197530864196,"[8484, 12944]"
8484,12163,0.0031545741324921135,"[8484, 12163]"
8484,15448,0.0031545741324921135,"[8484, 15448]"
8484,983,0.0031746031746031746,"[8484, 983]"
8484,3258,0.003194888178913738,"[8484, 3258]"
8484,2803,0.003205128205128205,"[8484, 2803]"
8484,5385,0.003215434083601286,"[8484, 5385]"
8484,10498,0.003215434083601286,"[8484, 10498]"
8484,10936,0.003246753246753247,"[8484, 10936]"
8484,7610,0.003257328990228013,"[8484, 7610]"
8484,4062,0.0032679738562091504,"[8484, 4062]"
8484,11842,0.0032679738562091504,"[8484, 11842]"
8484,12602,0.0032679738562091504,"[8484, 12602]"
8484,907,0.003278688524590164,"[8484, 907]"
8484,18085,0.003289473684210526,"[8484, 18085]"
8484,13151,0.003289473684210526,"[8484, 13151]"
8484,6298,0.0033112582781456954,"[8484, 6298]"
8484,18785,0.0033333333333333335,"[8484, 18785]"
8484,18424,0.0033333333333333335,"[8484, 18424]"
8484,17071,0.0033444816053511705,"[8484, 17071]"
8484,2635,0.003355704697986577,"[8484, 2635]"
8484,6561,0.003355704697986577,"[8484, 6561]"
8484,14787,0.003367003367003367,"[8484, 14787]"
8484,1682,0.003389830508474576,"[8484, 1682]"
8484,8378,0.003389830508474576,"[8484, 8378]"
8484,13555,0.003389830508474576,"[8484, 13555]"
8484,2696,0.003424657534246575,"[8484, 2696]"
8484,8992,0.003424657534246575,"[8484, 8992]"
8484,7029,0.0034482758620689655,"[8484, 7029]"
8484,9065,0.0034602076124567475,"[8484, 9065]"
8484,2161,0.003472222222222222,"[8484, 2161]"
8484,2968,0.003484320557491289,"[8484, 2968]"
8484,5680,0.0034965034965034965,"[8484, 5680]"
8484,18687,0.0034965034965034965,"[8484, 18687]"
8484,8565,0.0034965034965034965,"[8484, 8565]"
8484,11143,0.0035087719298245615,"[8484, 11143]"
8484,17636,0.0035211267605633804,"[8484, 17636]"
8484,13973,0.0035335689045936395,"[8484, 13973]"
8484,10782,0.0035460992907801418,"[8484, 10782]"
8484,5205,0.0035460992907801418,"[8484, 5205]"
8484,1427,0.0035460992907801418,"[8484, 1427]"
8484,1818,0.0035714285714285713,"[8484, 1818]"
8484,3540,0.0035714285714285713,"[8484, 3540]"
8484,4091,0.0035842293906810036,"[8484, 4091]"
8484,4348,0.0035971223021582736,"[8484, 4348]"
8484,9777,0.0036231884057971015,"[8484, 9777]"
8484,13152,0.0036231884057971015,"[8484, 13152]"
8484,551,0.0036363636363636364,"[8484, 551]"
8484,16240,0.0036363636363636364,"[8484, 16240]"
8484,9713,0.003676470588235294,"[8484, 9713]"
8484,12030,0.003676470588235294,"[8484, 12030]"
8484,15547,0.003676470588235294,"[8484, 15547]"
8484,18453,0.003676470588235294,"[8484, 18453]"
8484,4084,0.003676470588235294,"[8484, 4084]"
8484,6408,0.003676470588235294,"[8484, 6408]"
8484,13594,0.003703703703703704,"[8484, 13594]"
8484,926,0.003703703703703704,"[8484, 926]"
8484,12043,0.0037174721189591076,"[8484, 12043]"
8484,14655,0.0037174721189591076,"[8484, 14655]"
8484,7649,0.0037174721189591076,"[8484, 7649]"
8484,9642,0.0037174721189591076,"[8484, 9642]"
8484,8956,0.0037313432835820895,"[8484, 8956]"
8484,2956,0.0037313432835820895,"[8484, 2956]"
8484,4476,0.0037313432835820895,"[8484, 4476]"
